Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PMCYP0Q1K0,Bolboschoenus glaucus,bulbous bulrush,,SNA (2007),Exotic,GNR,,,,,,
IICOLRZ7K0,Bolitobius cingulatus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHYM24290,Bombus impatiens,Common Eastern Bumble Bee,,SNA (2016),Exotic,G5 (2020),,,,,,
PDBOR05010,Borago officinalis,common borage,,SNA (2019),Exotic,GNR,,,,,,
AMALE01013,Bos bison bison (Introduced),Plains Bison (Introduced),,SNA (2010),No Status,GNA (2007),T,,,,,
IIHOM5F040,Brachycaudus cardui,,,SNA,Exotic,GNR,,,,,,
IIHOM5F010,Brachycaudus helichrysi,,,SNA,Exotic,GNR,,,,,,
IIHOMD7010,Brachycorynella asparagi,,,SNA,Exotic,GNR,,,,,,
IICOLQD7D0,Brachypera zoilus,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
PMPOA13030,Brachypodium sylvaticum,slender false brome,,SNA (2019),Exotic,GNR,,,,,,
IICOLSM030,Brachypterus urticae,A Sap Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLJS080,Bradycellus harpalinus,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDBRA0C050,Brassica juncea,Chinese mustard,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0C060,Brassica napus,turnip,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0C070,Brassica nigra,black mustard,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0C083,Brassica oleracea var. oleracea,cabbage,,SNA (2019),Exotic,GNRTNR,,,,,,
PDBRA0C0A0,Brassica rapa,field mustard,,SNA (2019),Exotic,GNR,,,,,,
IIHOM5G010,Brevicoryne brassicae,,,SNA,Exotic,GNR,,,,,,
PMPOA14010,Briza maxima,big quaking grass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA14030,Briza minor,small quaking grass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA15090,Bromus briziformis,rattlesnake grass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA150D0,Bromus commutatus,meadow brome,,SNA (2019),Exotic,GNR,,,,,,
PMPOA15180,Bromus diandrus ssp. rigidus,rip-gut brome,,SNA (2019),Exotic,GNR,,,,,,
PMPOA150K0,Bromus hordeaceus,soft brome,,SNA (2019),Exotic,GNR,,,,,,
PMPOA150L1,Bromus inermis,smooth brome,,SNA (2019),Exotic,G5T5 (2016),,,,,,
PMPOA150M0,Bromus japonicus,Japanese brome,,SNA (2019),Exotic,GNR,,,,,,
PMPOA15150,Bromus racemosus,bald brome,,SNA (2019),Exotic,GNR,,,,,,
PMPOA15240,Bromus riparius,meadow brome,,SNA (2019),Exotic,GNR (2011),,,,,,
PMPOA151B0,Bromus secalinus,rye brome,,SNA (2019),Exotic,GNR,,,,,,
PMPOA151D1,Bromus squarrosus var. squarrosus,squarrose brome,,SNA,Exotic,GNRTNR,,,,,,
PMPOA151D2,Bromus squarrosus var. villosus,corn brome,,SNA (2010),Exotic,GNRTNR,,,,,,
PMPOA151F0,Bromus sterilis,barren brome,,SNA (2019),Exotic,GNR,,,,,,
PMPOA151H0,Bromus tectorum,cheatgrass,,SNA (2019),Exotic,GNR,,,,,,
IICOLSZ050,Bruchidius cisti,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLCB020,Bruchus brachialis,Vetch Bruchid,,SNA (2017),Exotic,GNR,,,,,,
IICOLCB010,Bruchus pisorum,Pea Weevil,,SNA (2017),Exotic,GNR,,,,,,
PDBUD01020,Buddleja davidii,butterfly-bush,,SNA (2019),Exotic,G4G5 (1994),,,,,,
PDBOR08010,Buglossoides arvensis,corn gromwell,,SNA (2019),Exotic,GNR,,,,,,
IILEY6X010,Bulia deducta,,,SNA (2017),Exotic,GNR,,,,,,
PDBRA0E020,Bunias orientalis,Turkish rocket,,SNA (2019),Exotic,GNR,,,,,,
IICOLW8130,Buprestis haemorrhoidalis,A Metallic Wood-boring Beetle,,SNA (2017),Exotic,GNR,,,,,,
PMBUT01010,Butomus umbellatus,flowering-rush,,SNA (2019),Exotic,G5 (1994),,,,,,
IIHOM4S320,Cacopsylla peregrina,,,SNA,Exotic,GNR,,,,,,
IIHOM4S340,Cacopsylla pyricola,,,SNA,Exotic,GNR,,,,,,
PDBRA0F021,Cakile edentula ssp. edentula,American searocket,,SNA (2019),Exotic,G5T5 (2016),,,,,,
PDBRA0F050,Cakile maritima ssp. maritima,European searocket,,SNA (2019),Exotic,GNR,,,,,,
PMPOA170A0,Calamagrostis epigeios,chee reedgrass,,SNA (2019),Exotic,G5 (1994),,,,,,
IICOL12300,Calamosternus granarius,A Scarab Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM5H050,Calaphis betulicola,,,SNA,Exotic,GNR,,,,,,
IICOLJT030,Calathus fuscipes,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAST1M020,Calendula officinalis,pot marigold,,SNA (2019),Exotic,GNR,,,,,,
ABNLC23040,Callipepla californica,California Quail,,SNA (2015),Exotic,G5 (2016),,,,,,
IIHOM5J010,Callipterinella calliptera,,,SNA,Exotic,GNR,,,,,,
IIHOM5J020,Callipterinella minutissima,,,SNA,Exotic,GNR,,,,,,
PDCLL010H1,Callitriche brutia var. hamulata,narrowleaf water-starwort,,SNA (2019),Exotic,GNRTNR,,,,,,
PDCLL010A0,Callitriche stagnalis,pond water-starwort,,SNA (2019),Exotic,GNR,,,,,,
PDCLL010B0,Callitriche terrestris,terrestrial water-starwort,,SNA (2019),Exotic,G5 (1985),,,,,,
PDERI06010,Calluna vulgaris,common heather,,SNA (2019),Exotic,G5 (1999),,,,,,
IILEYH3010,Calophasia lunula,,,SNA (2017),Exotic,GNR,,,,,,
IILEF29660,Caloptilia suberinella,,,SNA (2017),Exotic,GNR,,,,,,
PDRAN06031,Caltha palustris ssp. palustris,yellow marsh-marigold,,SNA (2012),Exotic,G5T5 (2016),,,,,,
PDCON040E3,Calystegia sepium ssp. erratica,erratic false bindweed,,SNA,Exotic,G5TNR,,,,,,
PDCON040E8,Calystegia sepium ssp. sepium,hedge false bindweed,,SNA (2019),Exotic,G5TU (2006),,,,,,
PDCON040L2,Calystegia silvatica ssp. silvatica,shortstalk false bindweed,,SNA (2019),Exotic,G5TNR,,,,,,
PDBRA0H010,Camelina microcarpa,littlepod flax,,SNA (2019),Exotic,GNR,,,,,,
PDCAM020H0,Campanula medium,Canterbury-bells,,SNA (2019),Exotic,GNR,,,,,,
PDCAM020L0,Campanula persicifolia,peach-leaved bellflower,,SNA (2019),Exotic,GNR,,,,,,
PDCAM020Q0,Campanula rapunculoides,creeping bellflower,,SNA (2019),Exotic,GNR,,,,,,
IIHEM0W010,Campylomma verbasci,,,SNA,Exotic,GNR,,,,,,
IIHEMZ1010,Campyloneura virgula,,,SNA,Exotic,GNR,,,,,,
NBMUS1K090,Campylopus introflexus,,,SNA (2015),Exotic,G5 (1992),,,,,,
NLTES26410,Candelaria concolor,elfin candleflame,,SNA (2018),Exotic,G5 (2013),,,,,,
IIHOM3H050,Capitophorus carduinus,,,SNA,Exotic,GNR,,,,,,
IIHOM3H010,Capitophorus elaeagni,,,SNA,Exotic,GNR,,,,,,
IIHOM3H020,Capitophorus hippophaes,,,SNA,Exotic,GNR,,,,,,
IIHOM3H060,Capitophorus horni,,,SNA,Exotic,GNR,,,,,,
PDBRA0J010,Capsella bursa-pastoris,shepherd's purse,,SNA (2019),Exotic,GNR,,,,,,
IIHEMJ9020,Capsus ater,,,SNA,Exotic,GNR,,,,,,
IICOLC3080,Carabus granulatus,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLC3090,Carabus nemoralis,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IILEYD8010,Caradrina morpheus,,,SNA (2017),Exotic,GNR,,,,,,
PDFAB0R010,Caragana arborescens,Siberian peashrub,,SNA (2019),Exotic,GNR,,,,,,
AFCJB04010,Carassius auratus,Goldfish,,SNA (2019),Exotic,G5 (1996),,,,,,
IILEG25010,Carcina quercana,,,SNA (2017),Exotic,GNR,,,,,,
IICOLQM100,Carcinops pumilio,A Hister Beetle,,SNA (2017),Exotic,GNR,,,,,,
ICMALD2010,Carcinus maenas,Green Crab,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0K1K0,Cardamine corymbosa,New Zealand bittercress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0K0F0,Cardamine flexuosa,wood bittercress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0K0G0,Cardamine hirsuta,hairy bittercress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0K1J0,Cardamine occulta,wood bittercress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0K0Z0,Cardamine pratensis,European field bittercress,,SNA (2019),Exotic,G5 (1984),,,,,,
PDCAR05010,Cardionema ramosissimum,sandmat,,SNA (2019),Exotic,G5? (1991),,,,,,
PDAST1S011,Carduus acanthoides ssp. acanthoides,plumeless thistle,,SNA (2019),Exotic,GNRTNR,,,,,,
PDAST1S040,Carduus nutans,nodding thistle,,SNA (2019),Exotic,GNR,,,,,,
PMCYP033J9,Carex debilis var. rudgei,Rudge's sedge,,SNA (2021),Exotic,G5T5 (2016),,,,,,
PMCYP035F0,Carex granularis,limestone meadow sedge,,SNA (2019),Exotic,G5 (2016),,,,,,
PMCYP03600,Carex hirta,hairy sedge,,SNA (2019),Exotic,GNR,,,,,,
PMCYP037P0,Carex longii,green and white sedge,,SNA (2019),Exotic,G5 (2015),,,,,,
PMCYP03990,Carex nigra,smooth black sedge,,SNA (2019),Exotic,G5 (2016),,,,,,
PMCYP03A00,Carex pallescens,pale meadow sedge,,SNA (2019),Exotic,G5 (2016),,,,,,
PMCYP03LV0,Carex pendula,hanging sedge,,SNA (2019),Exotic,GNR,,,,,,
PMCYP03D60,Carex subbracteata,small-bracted sedge,,SNA (2019),Exotic,G5 (1990),,,,,,
PMCYP03DD0,Carex swanii,Swan's sedge,,SNA (2019),Exotic,G5 (2016),,,,,,
PMCYP03DF0,Carex sylvatica,European woodland sedge,,SNA (2019),Exotic,GNR,,,,,,
PMCYP03DW2,Carex tribuloides var. tribuloides,blunt broom sedge,,SNA (2019),Exotic,G5T5 (2016),,,,,,
IICOLCF040,Carpelimus bilineatus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLN1040,Carpophilus hemipterus,Dried-fruit Beetle,,SNA (2017),No Status,GNR,,,,,,
PDAST1X030,Carthamus tinctorius,safflower,,SNA (2019),Exotic,GNR,,,,,,
IICOLQT070,Cartodere constricta,Plaster Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQT180,Cartodere nodifer,A Minute Brown Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAPI0G010,Carum carvi,caraway,,SNA (2019),Exotic,GNR,,,,,,
IMGAS07040,Carychium minimum,Herald Thorn,,SNA (2015),Exotic,G5 (2002),,,,,,
IMGAS07100,Carychium tridentatum,Dentate Thorn,,SNA (2015),Exotic,G5 (2002),,,,,,
IILEG5R040,Caryocolum marmorea,,,SNA (2017),Exotic,GNR,,,,,,
IICOLKB010,Cassida flaveola,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDFAG01020,Castanea dentata,American chestnut,,SNA (2019),Exotic,G3 (2020),E,,,,,
IIHOM5P010,Cavariella aegopodii,,,SNA,Exotic,GNR,,,,,,
IIHOM5P060,Cavariella archangelicae,,,SNA,Exotic,GNR,,,,,,
IIHOM5P040,Cavariella pastinacae,,,SNA,Exotic,GNR,,,,,,
PMPOA1C080,Cenchrus longispinus,burgrass,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST1Y050,Centaurea cyanus,cornflower,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y060,Centaurea diffusa,diffuse knapweed,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y0A0,Centaurea jacea,brown knapweed,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y0D0,Centaurea melitensis,Maltese star-thistle,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y0E0,Centaurea montana,mountain bluet,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y0J0,Centaurea nigra,black knapweed,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y0K0,Centaurea nigrescens,short-fringed knapweed,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y0R0,Centaurea scabiosa,greater centaurea,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y0W0,Centaurea stoebe ssp. australis,spotted knapweed,,SNA (2019),Exotic,GNR,,,,,,
PDAST1Y130,Centaurea x moncktonii,meadow knapweed,,SNA (2008),Exotic,GNA (2016),,,,,,
PDGEN02050,Centaurium erythraea,common centaury,,SNA (2019),Exotic,GNR,,,,,,
PDVAL01010,Centranthus ruber,red valerian,,SNA (2019),Exotic,GNR,,,,,,
ILARA1F010,Centromerita bicolor,Eurasian Hairypalped Sheetweaver,,SNA,Exotic,GNR,,,,,,
IMGASD8020,Cepaea nemoralis,Grovesnail,,SNA (2015),Exotic,G5 (2007),,,,,,
PDCAR06055,Cerastium arvense ssp. arvense,field chickweed,,SNA,Exotic,G5T5 (2002),,,,,,
PDCAR060F2,Cerastium fontanum ssp. vulgare,mouse-ear chickweed,,SNA (2019),Exotic,GNRTNR,,,,,,
PDCAR060G0,Cerastium glomeratum,sticky chickweed,,SNA (2019),Exotic,GNR,,,,,,
PDCAR06110,Cerastium pumilum ssp. glutinosum,dwarf mouse-ear,,SNA (2019),Exotic,GNR,,,,,,
PDCAR060N0,Cerastium semidecandrum,little chickweed,,SNA (2019),Exotic,GNR,,,,,,
PDCAR060T0,Cerastium tomentosum,snow-in-summer,,SNA (2019),Exotic,GNR,,,,,,
PDRAN0R010,Ceratocephala testiculata,hornseed buttercup,,SNA (2019),Exotic,GNR,,,,,,
IISIP14090,Ceratophyllus gallinae,Hen Flea,,SNA (2020),Exotic,GNR,,,,,,
IICOLW3050,Cercyon analis,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLW3100,Cercyon haemorrhoidalis,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLW3230,Cercyon impressus,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLW3110,Cercyon lateralis,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLW3190,Cercyon pygmaeus,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLW3130,Cercyon quisquilius,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLW3200,Cercyon unipunctatus,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLNN030,Ceutorhynchus erysimi,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
IICOLNN270,Ceutorhynchus obstrictus,Cabbage Seedpod Weevil,,SNA (2017),Exotic,GNR,,,,,,
IICOLNN100,Ceutorhynchus rapae,Cabbage Curculio,,SNA (2017),Exotic,GNR,,,,,,
PDSCR0E011,Chaenorhinum minus ssp. minus,common dwarf snapdragon,,SNA (2001),Exotic,GNRTNR,,,,,,
IICOLPR050,Chaetophora spinosa,A Pill Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM5U050,Chaetosiphon tetrarhodum,,,SNA,Exotic,GNR,,,,,,
IILEG2A010,Cheimophila salicella,,,SNA (2017),Exotic,GNR,,,,,,
ILARAL1020,Cheiracanthium mildei,Milde Sac Spider,,SNA,Exotic,GNR,,,,,,
PDPAP06010,Chelidonium majus,greater celandine,,SNA (2019),Exotic,GNR,,,,,,
PDCHE09100,Chenopodiastrum murale,nettle-leaved goosefoot,,SNA (2019),Exotic,GNR,,,,,,
PDCHE09200,Chenopodium album,common lamb's-quarters,,SNA (2019),Exotic,G5 (2016),,,,,,
PDCHE091R1,Chenopodium ficifolium ssp. ficifolium,figleaf goosefoot,,SNA,Exotic,GNRTNR,,,,,,
PDCHE09210,Chenopodium strictum,late-flowering goosefoot,,SNA (2019),Exotic,G5 (2016),,,,,,
PDCHE09250,Chenopodium suecicum,Swedish goosefoot,,SNA,Exotic,GNR,,,,,,
IIHEM2E010,Chilacis typhae,,,SNA,Exotic,GNR,,,,,,
IICOL12190,Chilothorax distinctus,A Scarab Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAST26010,Chondrilla juncea,skeleton-weed,,SNA (2019),Exotic,GNR,,,,,,
IILEK0Q010,Choreutis pariana,,,SNA (2017),Exotic,GNR,,,,,,
PDBRA0Q010,Chorispora tenella,blue mustard,,SNA (2019),Exotic,GNR,,,,,,
IIHOME2010,Chromaphis juglandicola,,,SNA,Exotic,GNR,,,,,,
IILEG3E020,Chrysoclista linneella,,,SNA (2017),Exotic,GNR,,,,,,
IILEY8F030,Chrysodeixis chalcites,,,SNA (2017),Exotic,GNR,,,,,,
IILEG4F010,Chrysoesthia drurella,,,SNA (2017),Exotic,GNR,,,,,,
IICOLKF020,Chrysolina hyperici,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLKF030,Chrysolina quadrigemina,Klamathweed Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLKF110,Chrysolina varians,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAST2D020,Cichorium intybus,chicory,,SNA (2019),Exotic,GNR,,,,,,
IICOLRZ1B0,Cilea silphoides,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM5V590,Cinara pilicornis,,,SNA,Exotic,GNR,,,,,,
IIHOM5V180,Cinara pinea,,,SNA,Exotic,GNR,,,,,,
IMGASE7010,Cipangopaludina chinensis,Chinese Mysterysnail,,SNA (2015),Exotic,G5 (2008),,,,,,
PDAST2E090,Cirsium arvense,Canada thistle,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST2E250,Cirsium palustre,marsh thistle,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST2E350,Cirsium vulgare,bull thistle,,SNA (2019),Exotic,GNR (2002),,,,,,
PDCIS01023,Cistus creticus,pink rock rose,,SNA (2019),Exotic,GNRTNR,,,,,,
IICOLST040,Clambus pubescens,a minute beetle,,SNA (2017),Exotic,GNR,,,,,,
PDRAN080U1,Clematis tangutica var. tangutica,golden clematis,,SNA (2019),Exotic,GNRTNR (1994),,,,,,
PDRAN08100,Clematis vitalba,traveler's joy,,SNA (2019),Exotic,GNR,,,,,,
IILEM2C050,Clepsis consimilana,,,SNA (2019),Exotic,GNR,,,,,,
IILEM2C110,Clepsis spectrana,,,SNA (2017),Exotic,GNR,,,,,,
PDLAM0A021,Clinopodium vulgare ssp. vulgare,wild basil savory,,SNA (2019),Exotic,G5T5 (2019),,,,,,
IZSPN40030,Cliona lobata,Lobate Boring Horny Sponge,,SNA (2019),Exotic,G5 (2017),,,,,,
IICOL7T040,Clivina collaris,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL7T060,Clivina fossor,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHEMK2020,Closterotomus norwegicus,,,SNA,Exotic,GNR,,,,,,
ILARA72260,Clubiona lutescens,Eurasian Yellow Sac Spider,,SNA,Exotic,GNR,,,,,,
ILARA72300,Clubiona pallidula,European Sac Spider,,SNA,Exotic,GNR,,,,,,
IILEM1W010,Cnephasia longana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM1W030,Cnephasia stephensiana,,,SNA (2017),Exotic,GNR,,,,,,
IICOLD6020,Coccinella septempunctata,Seven-spotted Lady Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLD6130,Coccinella undecimpunctata,Eleven-spotted Lady Beetle,,SNA (2017),Exotic,GNR,,,,,,
IILEM2R170,Cochylis atricapitana,Black-headed Conch,,SNA (2020),Exotic,GNR,,,,,,
PMPOA4K1Z6,Coleataenia rigidula ssp. rigidula,redtop panicgrass,,SNA (2019),Exotic,G5T5? (2007),,,,,,
IILEG362B0,Coleophora atriplicis,,,SNA (2017),Exotic,GNR,,,,,,
IILEG361T0,Coleophora deauratella,,,SNA (2017),Exotic,GNR,,,,,,
IILEG362E0,Coleophora klimeschiella,,,SNA (2017),Exotic,GNR,,,,,,
IILEG36530,Coleophora laricella,,,SNA (2017),Exotic,GNR,,,,,,
IILEG361F0,Coleophora mayrella,,,SNA (2017),Exotic,GNR,,,,,,
IILEG36550,Coleophora serratella,,,SNA (2017),Exotic,GNR,,,,,,
IILEG361W0,Coleophora spinella,,,SNA (2017),Exotic,GNR,,,,,,
IILEG361E0,Coleophora trifolii,,,SNA (2017),Exotic,GNR,,,,,,
IIHOM5Y020,Coloradoa artemisiae,,,SNA,Exotic,GNR,,,,,,
ABNPB01010,Columba livia,Rock Pigeon,,SNA (2015),Exotic,G5 (2016),,,,,,
IIHEMZ4020,Compsidolon salicellum,,,SNA,Exotic,GNR,,,,,,
PDAPI0Q010,Conium maculatum,poison-hemlock,,SNA (2019),Exotic,G5 (1985),,,,,,
IIORT66080,Conocephalus dorsalis,Eurasian Meadow Katydid,,SNA (2015),Exotic,G5 (2014),,,,,,
IIHOMAT010,Conomelus anceps,,,SNA,Exotic,GNR,,,,,,
PDBRA0T010,Conringia orientalis,hare's-ear mustard,,SNA (2019),Exotic,GNR,,,,,,
PDRAN09040,Consolida ajacis,rocket larkspur,,SNA (2019),Exotic,GNR (2012),,,,,,
PDCON05020,Convolvulus arvensis,field bindweed,,SNA (2019),Exotic,GNR (1994),,,,,,
IINEUCN020,Conwentzia pineticola,,,SNA (2016),Exotic,GNR,,,,,,
IINEUCN030,Conwentzia psociformis,,,SNA (2016),Exotic,GNR,,,,,,
IMBIV48010,Corbicula fluminea,Asiatic Clam,,SNA (2015),Exotic,G5 (2007),,,,,,
IICOLRZ1E0,Cordalia obscura,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDAST2L0F0,Coreopsis lanceolata,garden coreopsis,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST2L0V0,Coreopsis tinctoria,golden tickseed,,SU (2019),Unknown,G5 (2012),,,,,,
PDCOR010M0,Cornus sanguinea,blood-twig dogwood,,SNA (2019),Exotic,GNR,,,,,,
PDCAR07011,Corrigiola litoralis ssp. litoralis,strapwort,,SNA (2019),Exotic,GNRTNR,,,,,,
IICOLCM030,Corticaria pubescens,A Minute Brown Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLCM010,Corticaria serrata,,,SNA (2017),Exotic,GNR,,,,,,
IICOLQT100,Cortinicara gibbosa,A Minute Brown Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOME4010,Corylobium avellanae,,,SNA,Exotic,GNR,,,,,,
PDBET04020,Corylus avellana,filbert,,SNA (2019),Exotic,GNR,,,,,,
IICOLQD7V0,Cosmobaris scolopacea,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
PDAST0J050,Cota tinctoria,yellow chamomile,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0Y0,Cotoneaster dammeri,bearberry cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0F0,Cotoneaster dielsianus,Diels' cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0Z0,Cotoneaster divaricatus,spreading cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F020,Cotoneaster franchetii,orange cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F030,Cotoneaster horizontalis,rock cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0H0,Cotoneaster lacteus,cream-flowered cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0D0,Cotoneaster lucidus,shiny cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0C0,Cotoneaster rehderi,puckered-leaved cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0M0,Cotoneaster salicifolius,willow-leaved cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F070,Cotoneaster simonsii,Himalayan cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDROS0F0N0,Cotoneaster sternianus,Stern's cotoneaster,,SNA (2019),Exotic,GNR,,,,,,
PDAST2P020,Cotula coronopifolia,brass buttons,,SNA (2019),Exotic,GNR,,,,,,
IDHYD04010,Craspedacusta sowerbyi,,,SNA (2020),Exotic,G5 (2009),,,,,,
PDCRA020A0,Crassula tillaea,mossy stonecrop,,SNA (2019),Exotic,GNR,,,,,,
PDROS0H871,Crataegus monogyna var. monogyna,common hawthorn,,SNA (2019),Exotic,G5TNR,,,,,,
IICOLCN010,Crataraea suturalis,,,SNA (2017),Exotic,GNR,,,,,,
PDAST2R060,Crepis capillaris,smooth hawksbeard,,SNA (2019),Exotic,GNR,,,,,,
PDAST2R0M0,Crepis tectorum,annual hawksbeard,,SNA (2019),Exotic,GNR,,,,,,
PDAST2R0N1,Crepis vesicaria ssp. taraxacifolia,weedy hawksbeard,,SNA (2019),Exotic,GNRTNR,,,,,,
IICOLAG010,Crioceris asparagi,Asparagus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLAG020,Crioceris duodecimpunctata,Spotted Asparagus Beetle,,SNA (2017),Exotic,GNR,,,,,,
PMIRI0K020,Crocosmia x crocosmiiflora,montbretia,,SNA (2001),Exotic,GNA (2016),,,,,,
PDRUB3M010,Cruciata pedemontana,Piedmont-bedstraw,,SNA (2019),Exotic,GNR,,,,,,
PMPOA1S020,Crypsis alopecuroides,foxtail pricklegrass,,SNA (2019),Exotic,GNR,,,,,,
ILARA4T010,Cryptachaea blattea,Cosmopolitan Combfooted Spider,,SNA,Exotic,GNR,,,,,,
IICOLQR070,Cryptolestes ferrugineus,Rusty Grain Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQR080,Cryptolestes pusillus,Flat Grain Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQR090,Cryptolestes turcicus,Flourmill Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM6C020,Cryptomyzus galeopsidis,,,SNA,Exotic,GNR,,,,,,
IIHOM6C010,Cryptomyzus ribis,,,SNA,Exotic,GNR,,,,,,
IICOLA3030,Cryptophagus cellaris,A Silken Fungus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLA3140,Cryptophagus distinguendus,A Silken Fungus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLA3200,Cryptophagus laticollis,A Silken Fungus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLA3070,Cryptophagus saginatus,A Silken Fungus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLA3100,Cryptophagus subfumatus,A Silken Fungus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLCP020,Cryptopleurum minutum,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLCP030,Cryptopleurum subtile,A Water Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
ITUNIB3020,Cryptops hortensis,,,SNA (2020),Exotic,GNR,,,,,,
IIHOMBH010,Ctenarytaina eucalypti,,,SNA,Exotic,GNR,,,,,,
IIHOME5010,Ctenocallis setosus,,,SNA,Exotic,GNR,,,,,,
IISIP19010,Ctenocephalides canis,Dog Flea,,SNA (2020),Exotic,GNR,,,,,,
IISIP19020,Ctenocephalides felis,Cat Flea,,SNA (2020),Exotic,GNR,,,,,,
PDCUS01030,Cuscuta approximata,clustered dodder,,SNA (2019),Exotic,GNR,,,,,,
